Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Internal_Resistance_Ohm,SoH_Percent,Battery_Status,Car_Model_BYD Atto 3,Car_Model_Ford Mustang Mach-E,Car_Model_Hyundai Ioniq 5,Car_Model_Tesla Model 3,Car_Model_Wuling Air EV,Battery_Type_LFP,Battery_Type_NMC,Driving_Style_Aggressive,Driving_Style_Conservative,Driving_Style_Moderate,Thermal_Stress_Index,Monthly_Charge_Intensity,Power_Stress
26.0,19,169,33.7,0.01,0.5,0.0215,98.64,Healthy,False,False,False,False,True,True,False,False,False,True,0.337,8.45,0.01075
88.0,70,997,27.6,0.08,2.09,0.0443,92.41,Healthy,False,True,False,False,False,False,True,False,True,False,2.208,14.04225352112676,0.09258699999999999
60.0,16,173,24.3,0.75,2.41,0.0254,98.67,Healthy,True,False,False,False,False,True,False,False,False,True,18.225,10.176470588235293,0.061214000000000005
72.6,20,81,15.5,0.66,1.65,0.0218,99.73,Healthy,False,False,True,False,False,False,True,False,True,False,10.23,3.857142857142857,0.035969999999999995
26.0,89,1061,15.7,0.13,0.95,0.0303,94.6,Healthy,False,False,False,False,True,True,False,False,True,False,2.041,11.78888888888889,0.028784999999999998
88.0,17,247,21.8,0.88,1.51,0.0284,97.37,Healthy,False,True,False,False,False,False,True,False,False,True,19.184,13.722222222222221,0.042884000000000005
75.0,54,613,33.4,0.94,2.07,0.0456,91.6,Healthy,False,False,False,True,False,False,True,False,False,True,31.395999999999997,11.145454545454545,0.09439199999999999
88.0,40,383,32.6,0.39,0.8,0.0318,96.32,Healthy,False,True,False,False,False,False,True,False,False,True,12.714,9.341463414634147,0.025440000000000004
60.0,49,203,25.4,0.11,2.28,0.0219,98.96,Healthy,True,False,False,False,False,True,False,False,True,False,2.794,4.06,0.049932
75.0,45,499,28.6,0.93,2.39,0.039,93.96,Healthy,False,False,False,True,False,False,True,False,False,True,26.598000000000003,10.847826086956522,0.09321
75.0,66,609,21.7,0.68,1.4,0.0385,94.18,Healthy,False,False,False,True,False,False,True,False,True,False,14.756,9.08955223880597,0.053899999999999997
75.0,64,923,35.4,0.57,2.11,0.0627,85.61,Healthy,False,False,False,True,False,False,True,True,False,False,20.177999999999997,14.2,0.132297
60.0,76,738,18.4,0.43,1.17,0.0311,94.8,Healthy,True,False,False,False,False,True,False,True,False,False,7.911999999999999,9.584415584415584,0.036386999999999996
88.0,30,343,20.3,0.07,1.3,0.0299,97.02,Healthy,False,True,False,False,False,False,True,False,True,False,1.4210000000000003,11.064516129032258,0.03887
60.0,83,1173,28.2,0.05,1.59,0.0317,94.48,Healthy,True,False,False,False,False,True,False,False,True,False,1.4100000000000001,13.964285714285714,0.050403
75.0,58,785,31.1,0.64,1.47,0.0454,91.7,Healthy,False,False,False,True,False,False,True,False,True,False,19.904,13.305084745762711,0.066738
75.0,17,188,20.5,0.22,2.27,0.0253,98.78,Healthy,False,False,False,True,False,False,True,True,False,False,4.51,10.444444444444445,0.057431
60.0,21,236,12.9,0.19,1.05,0.02,98.92,Healthy,True,False,False,False,False,True,False,False,True,False,2.451,10.727272727272727,0.021
88.0,54,731,13.8,0.38,0.87,0.0408,92.93,Healthy,False,True,False,False,False,False,True,False,False,True,5.244000000000001,13.290909090909091,0.035496
60.0,34,309,27.3,1.0,2.13,0.0238,97.55,Healthy,True,False,False,False,False,True,False,False,False,True,27.3,8.82857142857143,0.050694
72.6,60,356,31.0,0.52,1.39,0.0276,97.21,Healthy,False,False,True,False,False,False,True,False,True,False,16.12,5.836065573770492,0.038363999999999995
88.0,68,867,38.9,0.82,2.2,0.0567,87.52,Healthy,False,True,False,False,False,False,True,False,False,True,31.897999999999996,12.565217391304348,0.12474000000000002
60.0,1,14,42.9,0.88,1.79,0.02,99.83,Healthy,True,False,False,False,False,True,False,False,False,True,37.752,7.0,0.0358
26.0,70,883,41.2,0.85,1.84,0.0398,90.45,Healthy,False,False,False,False,True,True,False,False,False,True,35.02,12.43661971830986,0.073232
75.0,46,612,20.1,0.35,1.87,0.0409,93.39,Healthy,False,False,False,True,False,False,True,False,False,True,7.035,13.02127659574468,0.076483
88.0,28,145,33.9,0.72,1.61,0.0265,98.05,Healthy,False,True,False,False,False,False,True,False,True,False,24.407999999999998,5.0,0.042665
88.0,94,597,17.1,0.29,1.04,0.038,94.29,Healthy,False,True,False,False,False,False,True,False,False,True,4.959,6.28421052631579,0.03952
88.0,17,86,35.4,0.26,2.41,0.0236,98.91,Healthy,False,True,False,False,False,False,True,False,False,True,9.204,4.777777777777778,0.056876
60.0,14,161,34.7,0.76,1.94,0.0234,98.25,Healthy,True,False,False,False,False,True,False,True,False,False,26.372000000000003,10.733333333333333,0.045396
60.0,83,907,27.5,0.51,1.05,0.0351,93.22,Healthy,True,False,False,False,False,True,False,False,False,True,14.025,10.797619047619047,0.036855
75.0,38,541,23.2,0.16,1.01,0.0299,96.05,Healthy,False,False,False,True,False,False,True,False,False,True,3.7119999999999997,13.871794871794872,0.030199
75.0,53,717,25.4,0.9,1.01,0.0441,91.91,Healthy,False,False,False,True,False,False,True,False,True,False,22.86,13.277777777777779,0.044541
75.0,8,40,31.0,0.02,0.75,0.0249,99.04,Healthy,False,False,False,True,False,False,True,False,True,False,0.62,4.444444444444445,0.018674999999999997
88.0,74,1100,13.1,0.86,1.13,0.0603,86.93,Healthy,False,True,False,False,False,False,True,False,False,True,11.266,14.666666666666666,0.06813899999999999
26.0,78,848,25.1,0.71,0.58,0.0329,93.44,Healthy,False,False,False,False,True,True,False,True,False,False,17.821,10.734177215189874,0.019082
26.0,41,438,32.5,0.59,1.35,0.0284,96.11,Healthy,False,False,False,False,True,True,False,False,False,True,19.175,10.428571428571429,0.038340000000000006
75.0,88,714,27.8,0.5,2.45,0.0412,93.23,Healthy,False,False,False,True,False,False,True,False,False,True,13.9,8.02247191011236,0.10094
72.6,50,360,16.6,0.82,0.62,0.0318,95.68,Healthy,False,False,True,False,False,False,True,True,False,False,13.612,7.0588235294117645,0.019716
26.0,4,28,26.7,0.33,1.95,0.0218,99.29,Healthy,False,False,False,False,True,True,False,False,False,True,8.811,5.6,0.04251
75.0,39,485,33.7,0.32,2.31,0.04,93.04,Healthy,False,False,False,True,False,False,True,True,False,False,10.784,12.125,0.09240000000000001
88.0,44,271,22.8,0.06,2.49,0.0283,97.81,Healthy,False,True,False,False,False,False,True,False,True,False,1.3679999999999999,6.022222222222222,0.070467
60.0,80,427,30.3,0.04,1.55,0.0252,98.31,Healthy,True,False,False,False,False,True,False,False,False,True,1.212,5.271604938271605,0.039060000000000004
88.0,83,1220,19.9,0.3,1.35,0.0596,86.92,Healthy,False,True,False,False,False,False,True,True,False,False,5.97,14.523809523809524,0.08046
60.0,46,394,36.4,0.38,2.05,0.0266,97.32,Healthy,True,False,False,False,False,True,False,False,True,False,13.831999999999999,8.382978723404255,0.054529999999999995
60.0,17,102,33.2,0.03,1.93,0.0244,98.4,Healthy,True,False,False,False,False,True,False,True,False,False,0.996,5.666666666666667,0.047092
88.0,88,889,17.9,0.89,2.07,0.0572,87.45,Healthy,False,True,False,False,False,False,True,True,False,False,15.931,9.98876404494382,0.118404
60.0,3,12,23.7,0.54,1.34,0.0209,98.9,Healthy,True,False,False,False,False,True,False,False,True,False,12.798,3.0,0.028006
72.6,18,258,44.6,0.59,2.18,0.0318,95.95,Healthy,False,False,True,False,False,False,True,False,False,True,26.314,13.578947368421053,0.06932400000000001
88.0,5,55,39.0,0.96,1.53,0.0221,98.71,Healthy,False,True,False,False,False,False,True,True,False,False,37.44,9.166666666666666,0.033813
72.6,44,482,24.6,0.75,1.13,0.0352,94.57,Healthy,False,False,True,False,False,False,True,False,False,True,18.450000000000003,10.71111111111111,0.039776
75.0,81,1195,22.3,0.47,2.44,0.054,88.58,Healthy,False,False,False,True,False,False,True,False,False,True,10.481,14.573170731707316,0.13176
88.0,20,283,27.7,0.91,1.3,0.0266,97.61,Healthy,False,True,False,False,False,False,True,False,True,False,25.207,13.476190476190476,0.03458
72.6,30,305,25.9,0.28,2.22,0.0284,97.02,Healthy,False,False,True,False,False,False,True,True,False,False,7.252000000000001,9.838709677419354,0.063048
72.6,46,416,12.0,0.46,2.12,0.0326,95.82,Healthy,False,False,True,False,False,False,True,False,False,True,5.5200000000000005,8.851063829787234,0.06911199999999999
88.0,40,242,35.1,0.63,0.81,0.026,97.77,Healthy,False,True,False,False,False,False,True,False,True,False,22.113,5.902439024390244,0.02106
75.0,46,595,25.4,0.84,1.9,0.0429,91.95,Healthy,False,False,False,True,False,False,True,True,False,False,21.336,12.659574468085106,0.08151
75.0,82,483,26.9,0.3,1.59,0.0352,95.02,Healthy,False,False,False,True,False,False,True,False,False,True,8.069999999999999,5.819277108433735,0.055968000000000004
72.6,18,213,9.2,0.1,2.31,0.0277,97.87,Healthy,False,False,True,False,False,False,True,True,False,False,0.9199999999999999,11.210526315789474,0.063987
88.0,28,373,28.9,0.7,1.11,0.0356,94.84,Healthy,False,True,False,False,False,False,True,True,False,False,20.229999999999997,12.862068965517242,0.039516
75.0,51,417,19.4,0.96,1.53,0.0364,94.68,Healthy,False,False,False,True,False,False,True,False,False,True,18.624,8.01923076923077,0.055692000000000005
60.0,66,340,28.4,0.14,1.28,0.0235,98.98,Healthy,True,False,False,False,False,True,False,False,False,True,3.976,5.074626865671642,0.03008
88.0,34,252,20.3,0.74,1.82,0.0306,95.94,Healthy,False,True,False,False,False,False,True,True,False,False,15.022,7.2,0.055692
60.0,21,291,19.9,0.3,1.07,0.0249,98.51,Healthy,True,False,False,False,False,True,False,False,False,True,5.97,13.227272727272727,0.026643
60.0,50,303,39.6,0.75,0.52,0.0253,97.65,Healthy,True,False,False,False,False,True,False,False,True,False,29.700000000000003,5.9411764705882355,0.013156000000000001
88.0,83,770,35.5,0.42,2.12,0.0481,91.08,Healthy,False,True,False,False,False,False,True,False,False,True,14.91,9.166666666666666,0.101972
88.0,22,262,26.1,0.03,1.13,0.0261,98.39,Healthy,False,True,False,False,False,False,True,False,True,False,0.783,11.391304347826088,0.029493
60.0,21,90,31.6,0.12,1.84,0.0219,98.97,Healthy,True,False,False,False,False,True,False,False,False,True,3.792,4.090909090909091,0.040296
75.0,48,225,42.8,0.3,1.56,0.032,95.95,Healthy,False,False,False,True,False,False,True,True,False,False,12.839999999999998,4.591836734693878,0.049920000000000006
88.0,79,531,37.6,0.11,1.15,0.0422,92.34,Healthy,False,True,False,False,False,False,True,True,False,False,4.136,6.6375,0.04853
75.0,94,451,13.1,0.26,1.1,0.0326,95.42,Healthy,False,False,False,True,False,False,True,False,True,False,3.406,4.747368421052632,0.03586
75.0,45,414,13.3,0.5,1.61,0.0325,95.99,Healthy,False,False,False,True,False,False,True,False,True,False,6.65,9.0,0.052325
60.0,46,529,29.4,0.46,1.67,0.0258,96.7,Healthy,True,False,False,False,False,True,False,False,False,True,13.524,11.25531914893617,0.043086
75.0,9,113,44.0,0.09,1.49,0.0267,98.35,Healthy,False,False,False,True,False,False,True,False,True,False,3.96,11.3,0.039783
72.6,34,417,29.8,0.23,1.15,0.0318,95.69,Healthy,False,False,True,False,False,False,True,True,False,False,6.854,11.914285714285715,0.03657
88.0,72,550,11.3,0.91,1.95,0.0358,94.23,Healthy,False,True,False,False,False,False,True,False,False,True,10.283000000000001,7.534246575342466,0.06981
26.0,52,387,29.8,0.2,1.43,0.0238,98.3,Healthy,False,False,False,False,True,True,False,False,False,True,5.960000000000001,7.30188679245283,0.034034
72.6,45,382,26.9,0.8,1.26,0.0335,95.4,Healthy,False,False,True,False,False,False,True,False,True,False,21.52,8.304347826086957,0.042210000000000004
60.0,57,693,38.2,0.66,0.76,0.0333,93.1,Healthy,True,False,False,False,False,True,False,True,False,False,25.212000000000003,11.948275862068966,0.025308000000000004
72.6,43,567,29.0,0.32,2.18,0.0338,95.36,Healthy,False,False,True,False,False,False,True,False,True,False,9.28,12.886363636363637,0.073684
26.0,34,190,23.7,0.63,0.97,0.0243,98.15,Healthy,False,False,False,False,True,True,False,True,False,False,14.931,5.428571428571429,0.023570999999999998
60.0,72,899,26.4,0.27,1.65,0.0329,94.9,Healthy,True,False,False,False,False,True,False,False,False,True,7.128,12.315068493150685,0.05428499999999999
26.0,52,220,30.5,0.72,1.85,0.0213,99.12,Healthy,False,False,False,False,True,True,False,False,False,True,21.96,4.150943396226415,0.039405
72.6,13,149,23.1,0.92,2.32,0.0281,97.19,Healthy,False,False,True,False,False,False,True,False,False,True,21.252000000000002,10.642857142857142,0.065192
88.0,67,422,38.0,0.35,1.16,0.0393,93.86,Healthy,False,True,False,False,False,False,True,True,False,False,13.299999999999999,6.205882352941177,0.045588
26.0,93,548,28.6,0.27,1.9,0.027,96.87,Healthy,False,False,False,False,True,True,False,False,False,True,7.722000000000001,5.829787234042553,0.0513
60.0,43,445,17.2,0.61,2.17,0.0242,97.43,Healthy,True,False,False,False,False,True,False,False,True,False,10.491999999999999,10.113636363636363,0.052514
26.0,62,479,35.0,0.04,0.94,0.0257,97.29,Healthy,False,False,False,False,True,True,False,False,False,True,1.4000000000000001,7.603174603174603,0.024158
75.0,85,1136,32.3,0.27,0.54,0.0604,86.6,Healthy,False,False,False,True,False,False,True,True,False,False,8.721,13.209302325581396,0.032616000000000006
60.0,59,570,12.6,0.62,1.24,0.027,96.7,Healthy,True,False,False,False,False,True,False,False,False,True,7.811999999999999,9.5,0.03348
88.0,89,539,26.2,0.77,2.47,0.0387,93.79,Healthy,False,True,False,False,False,False,True,False,False,True,20.174,5.988888888888889,0.09558900000000001
60.0,43,631,30.1,0.94,0.91,0.03,95.08,Healthy,True,False,False,False,False,True,False,False,True,False,28.294,14.340909090909092,0.0273
60.0,91,673,33.9,0.57,1.92,0.029,95.37,Healthy,True,False,False,False,False,True,False,False,False,True,19.322999999999997,7.315217391304348,0.05568
88.0,72,393,6.5,0.03,2.38,0.0278,96.8,Healthy,False,True,False,False,False,False,True,False,False,True,0.195,5.383561643835616,0.06616399999999999
75.0,24,241,19.9,0.51,0.96,0.0311,96.69,Healthy,False,False,False,True,False,False,True,False,False,True,10.149,9.64,0.029855999999999997
26.0,85,959,19.2,0.34,1.14,0.0301,94.72,Healthy,False,False,False,False,True,True,False,False,False,True,6.5280000000000005,11.151162790697674,0.034314
26.0,33,309,37.6,0.33,1.0,0.0231,98.08,Healthy,False,False,False,False,True,True,False,False,False,True,12.408000000000001,9.088235294117647,0.0231
26.0,18,76,13.5,0.81,1.01,0.0218,99.68,Healthy,False,False,False,False,True,True,False,False,True,False,10.935,4.0,0.022018
26.0,26,209,27.1,0.51,1.96,0.0226,98.53,Healthy,False,False,False,False,True,True,False,False,False,True,13.821000000000002,7.7407407407407405,0.044295999999999995
72.6,28,291,31.9,0.81,2.23,0.0311,96.33,Healthy,False,False,True,False,False,False,True,True,False,False,25.839000000000002,10.03448275862069,0.069353
88.0,88,867,20.6,0.86,2.46,0.0484,90.45,Healthy,False,True,False,False,False,False,True,False,True,False,17.716,9.741573033707866,0.11906399999999999
88.0,12,160,22.2,0.97,1.69,0.0245,98.35,Healthy,False,True,False,False,False,False,True,False,True,False,21.534,12.307692307692308,0.041405
26.0,41,461,35.9,0.36,0.66,0.0249,97.29,Healthy,False,False,False,False,True,True,False,False,True,False,12.924,10.976190476190476,0.016434
88.0,23,284,29.3,0.96,2.42,0.0322,95.5,Healthy,False,True,False,False,False,False,True,False,False,True,28.128,11.833333333333334,0.077924
88.0,67,907,25.7,0.63,2.35,0.0513,89.6,Healthy,False,True,False,False,False,False,True,True,False,False,16.191,13.338235294117647,0.120555
60.0,4,36,32.7,0.21,1.52,0.0205,99.59,Healthy,True,False,False,False,False,True,False,True,False,False,6.867,7.2,0.03116
88.0,17,164,24.7,0.79,1.04,0.0241,98.07,Healthy,False,True,False,False,False,False,True,False,False,True,19.513,9.11111111111111,0.025064
26.0,18,182,36.1,0.84,1.15,0.0244,97.46,Healthy,False,False,False,False,True,True,False,True,False,False,30.324,9.578947368421053,0.028059999999999998
26.0,69,742,23.9,0.54,0.8,0.0295,95.96,Healthy,False,False,False,False,True,True,False,False,False,True,12.906,10.6,0.0236
88.0,91,1344,20.1,0.73,0.76,0.0667,85.18,Healthy,False,True,False,False,False,False,True,False,False,True,14.673,14.608695652173912,0.050691999999999994
88.0,8,102,31.6,0.87,1.06,0.025,98.36,Healthy,False,True,False,False,False,False,True,True,False,False,27.492,11.333333333333334,0.026500000000000003
72.6,23,127,31.5,0.96,1.89,0.0263,97.8,Healthy,False,False,True,False,False,False,True,False,False,True,30.24,5.291666666666667,0.049707
60.0,59,345,14.1,0.69,2.0,0.0266,97.05,Healthy,True,False,False,False,False,True,False,False,False,True,9.729,5.75,0.0532
60.0,53,585,17.4,0.49,1.59,0.0276,96.34,Healthy,True,False,False,False,False,True,False,False,True,False,8.526,10.833333333333334,0.043884
75.0,39,250,27.2,0.36,1.59,0.0276,98.07,Healthy,False,False,False,True,False,False,True,False,False,True,9.792,6.25,0.043884
26.0,88,1075,15.5,0.16,1.15,0.0307,94.64,Healthy,False,False,False,False,True,True,False,False,False,True,2.48,12.07865168539326,0.035304999999999996
88.0,6,55,24.2,0.06,1.21,0.0241,98.56,Healthy,False,True,False,False,False,False,True,False,False,True,1.452,7.857142857142857,0.029161
72.6,43,529,17.6,0.16,0.88,0.0332,95.06,Healthy,False,False,True,False,False,False,True,False,False,True,2.8160000000000003,12.022727272727273,0.029216
75.0,55,621,23.8,0.2,2.18,0.036,94.28,Healthy,False,False,False,True,False,False,True,False,True,False,4.760000000000001,11.089285714285714,0.07848
60.0,29,327,37.6,0.49,1.24,0.0255,97.33,Healthy,True,False,False,False,False,True,False,False,True,False,18.424,10.9,0.031619999999999995
88.0,55,656,23.2,0.46,1.23,0.0371,94.09,Healthy,False,True,False,False,False,False,True,False,True,False,10.672,11.714285714285714,0.045633
60.0,40,436,22.0,0.44,2.4,0.0273,96.19,Healthy,True,False,False,False,False,True,False,False,False,True,9.68,10.634146341463415,0.06552
88.0,62,310,22.0,0.9,1.98,0.0309,96.82,Healthy,False,True,False,False,False,False,True,False,False,True,19.8,4.920634920634921,0.061182
75.0,11,86,26.1,0.68,1.88,0.0196,99.54,Healthy,False,False,False,True,False,False,True,False,True,False,17.748,7.166666666666667,0.036848
75.0,23,143,9.0,0.43,2.3,0.0246,97.7,Healthy,False,False,False,True,False,False,True,False,True,False,3.87,5.958333333333333,0.05658
26.0,4,40,32.5,0.14,2.29,0.0206,100.0,Healthy,False,False,False,False,True,True,False,True,False,False,4.550000000000001,8.0,0.047174
72.6,37,448,42.2,0.4,1.45,0.043,92.02,Healthy,False,False,True,False,False,False,True,False,False,True,16.880000000000003,11.789473684210526,0.062349999999999996
26.0,35,463,30.6,0.49,0.78,0.0251,97.7,Healthy,False,False,False,False,True,True,False,False,False,True,14.994,12.86111111111111,0.019578
60.0,72,464,34.0,0.36,1.25,0.0268,97.57,Healthy,True,False,False,False,False,True,False,False,False,True,12.24,6.3561643835616435,0.0335
88.0,7,99,33.0,0.67,1.15,0.021,99.53,Healthy,False,True,False,False,False,False,True,False,True,False,22.110000000000003,12.375,0.02415
72.6,88,428,19.2,0.47,1.59,0.034,95.18,Healthy,False,False,True,False,False,False,True,False,True,False,9.024,4.808988764044944,0.054060000000000004
88.0,68,979,21.2,0.81,1.09,0.0493,90.2,Healthy,False,True,False,False,False,False,True,False,True,False,17.172,14.18840579710145,0.053737
75.0,76,339,22.0,0.53,1.4,0.0318,96.25,Healthy,False,False,False,True,False,False,True,True,False,False,11.66,4.402597402597403,0.04452
75.0,50,639,46.8,0.8,2.42,0.0617,86.13,Healthy,False,False,False,True,False,False,True,False,False,True,37.44,12.529411764705882,0.149314
88.0,62,616,21.5,0.15,1.14,0.0359,94.78,Healthy,False,True,False,False,False,False,True,False,False,True,3.225,9.777777777777779,0.040926
75.0,14,116,17.8,0.17,2.22,0.0196,99.92,Healthy,False,False,False,True,False,False,True,False,False,True,3.0260000000000002,7.733333333333333,0.043512
75.0,6,73,16.5,0.07,1.7,0.023,98.83,Healthy,False,False,False,True,False,False,True,False,False,True,1.155,10.428571428571429,0.039099999999999996
75.0,94,1372,35.2,0.91,1.93,0.0755,81.43,Healthy,False,False,False,True,False,False,True,False,False,True,32.032000000000004,14.442105263157895,0.14571499999999998
72.6,61,406,33.7,0.72,1.44,0.036,94.87,Healthy,False,False,True,False,False,False,True,True,False,False,24.264000000000003,6.548387096774194,0.05184
60.0,52,344,21.7,0.86,1.13,0.0245,97.59,Healthy,True,False,False,False,False,True,False,False,True,False,18.662,6.490566037735849,0.027684999999999998
75.0,63,424,37.7,0.18,0.88,0.0354,95.0,Healthy,False,False,False,True,False,False,True,False,False,True,6.7860000000000005,6.625,0.031152000000000003
75.0,76,702,36.0,0.38,1.56,0.045,92.03,Healthy,False,False,False,True,False,False,True,False,False,True,13.68,9.116883116883116,0.0702
26.0,28,230,39.3,0.03,1.43,0.0242,98.65,Healthy,False,False,False,False,True,True,False,False,False,True,1.1789999999999998,7.931034482758621,0.034606
60.0,38,252,20.0,0.52,1.03,0.0276,96.99,Healthy,True,False,False,False,False,True,False,False,False,True,10.4,6.461538461538462,0.028428000000000002
26.0,95,986,30.5,0.35,2.24,0.0335,93.88,Healthy,False,False,False,False,True,True,False,False,False,True,10.674999999999999,10.270833333333334,0.07504000000000001
60.0,68,363,31.6,0.37,0.93,0.0244,97.24,Healthy,True,False,False,False,False,True,False,False,False,True,11.692,5.260869565217392,0.022692000000000004
75.0,71,416,11.4,0.41,0.72,0.0279,97.09,Healthy,False,False,False,True,False,False,True,False,True,False,4.6739999999999995,5.777777777777778,0.020088
75.0,54,454,16.5,0.01,0.89,0.0338,95.68,Healthy,False,False,False,True,False,False,True,True,False,False,0.165,8.254545454545454,0.030081999999999998
72.6,22,214,15.9,0.91,0.67,0.0271,97.55,Healthy,False,False,True,False,False,False,True,False,False,True,14.469000000000001,9.304347826086957,0.018157
60.0,5,32,26.3,0.84,2.11,0.021,100.0,Healthy,True,False,False,False,False,True,False,False,True,False,22.092,5.333333333333333,0.04431
88.0,15,208,21.8,0.55,0.57,0.0246,97.76,Healthy,False,True,False,False,False,False,True,True,False,False,11.990000000000002,13.0,0.014022
26.0,66,721,30.6,0.03,2.36,0.0261,96.6,Healthy,False,False,False,False,True,True,False,False,True,False,0.918,10.761194029850746,0.061596
60.0,84,937,22.2,0.48,1.08,0.0283,94.76,Healthy,True,False,False,False,False,True,False,False,False,True,10.655999999999999,11.023529411764706,0.030564
60.0,84,396,24.1,0.2,1.07,0.0247,97.32,Healthy,True,False,False,False,False,True,False,True,False,False,4.82,4.658823529411765,0.026429
75.0,61,864,28.5,0.07,1.9,0.0446,91.18,Healthy,False,False,False,True,False,False,True,True,False,False,1.995,13.935483870967742,0.08474
88.0,22,220,22.5,0.52,1.58,0.0269,97.68,Healthy,False,True,False,False,False,False,True,False,True,False,11.700000000000001,9.565217391304348,0.042502000000000005
26.0,7,69,24.2,0.23,1.29,0.0196,99.64,Healthy,False,False,False,False,True,True,False,False,False,True,5.566,8.625,0.025284
75.0,32,139,34.8,0.41,1.61,0.0239,98.68,Healthy,False,False,False,True,False,False,True,False,False,True,14.267999999999997,4.212121212121212,0.038479000000000006
26.0,87,943,24.9,0.17,0.83,0.0323,94.26,Healthy,False,False,False,False,True,True,False,False,False,True,4.233,10.715909090909092,0.026809
